Time [s],Channel 1
0.000000000,0
3.494719958,1
3.499963208,0
3.504954083,1
3.505202667,0
3.505452250,1
3.505698708,0
3.505946167,1
3.506192667,0
3.506440125,1
3.506686625,0
3.506934083,1
3.507180583,0
3.507428042,1
3.507674542,0
3.507922000,1
3.508168500,0
3.508415958,1
3.508662458,0
3.508909958,1
3.509156417,0
3.509403875,1
3.509650333,0
3.509897833,1
3.510144292,0
3.510391750,1
3.510638250,0
3.510885750,1
3.511130167,0
3.511375542,1
3.511619958,0
3.511865375,1
3.512109750,0
3.512355167,1
3.512599542,0
3.512844958,1
3.513089375,0
3.513334750,1
3.513579167,0
3.513824583,1
3.514069000,0
3.514314375,1
3.514558792,0
3.514804208,1
3.515048625,0
3.515294042,1
3.515538417,0
3.515783833,1
3.516028250,0
3.516273667,1
3.516516042,0
3.516759333,1
3.517001708,0
3.517245000,1
3.517487333,0
3.517730667,1
3.517973000,0
3.518216333,1
3.518458667,0
3.518702000,1
3.518944333,0
3.519187667,1
3.519430000,0
3.519673333,1
3.519915667,0
3.520159000,1
3.520401375,0
3.520644667,1
3.520887042,0
3.521130333,1
3.521372708,0
3.521616000,1
3.521858375,0
3.522101667,1
3.522341958,0
3.522583167,1
3.522823458,0
3.523064667,1
3.523304958,0
3.523546167,1
3.523786417,0
3.524027667,1
3.524267917,0
3.524509208,1
3.524749458,0
3.524990708,1
3.525231000,0
3.525472208,1
3.525712500,0
3.525953750,1
3.526194000,0
3.526435250,1
3.526675500,0
3.526916750,1
3.527157042,0
3.527398292,1
3.527636500,0
3.527875667,1
3.528113875,0
3.528353000,1
3.528591208,0
3.528830375,1
3.529068542,0
3.529307708,1
3.529545917,0
3.529785083,1
3.530023292,0
3.530262417,1
3.530500625,0
3.530739792,1
3.530977958,0
3.531217125,1
3.531455333,0
3.531694458,1
3.531932667,0
3.532171833,1
3.532410042,0
3.532649208,1
3.532887417,0
3.533126542,1
3.533362667,0
3.533599750,1
3.533835875,0
3.534072958,1
3.534309083,0
3.534546125,1
3.534782250,0
3.535019333,1
3.535255458,0
3.535492542,1
3.535728667,0
3.535965750,1
3.536201875,0
3.536438958,1
3.536675042,0
3.536912125,1
3.537148250,0
3.537385292,1
3.537621417,0
3.537858500,1
3.538094667,0
3.538331708,1
3.538567833,0
3.538804917,1
3.539041042,0
3.539278125,1
3.539512208,0
3.539747208,1
3.539981250,0
3.540216250,1
3.540450292,0
3.540685292,1
3.540919333,0
3.541154333,1
3.541388375,0
3.541623375,1
3.541857417,0
3.542092417,1
3.542326500,0
3.542561500,1
3.542795500,0
3.543030500,1
3.543264542,0
3.543499542,1
3.543733583,0
3.543968542,1
3.544202625,0
3.544437583,1
3.544671625,0
3.544906625,1
3.545138583,0
3.545371500,1
3.545603458,0
3.545836375,1
3.546068375,0
3.546301250,1
3.546533250,0
3.546766125,1
3.546998125,0
3.547231000,1
3.547463000,0
3.547695917,1
3.547927875,0
3.548160792,1
3.548392750,0
3.548625667,1
3.548857667,0
3.549090583,1
3.549322542,0
3.549555458,1
3.549787417,0
3.550020333,1
3.550252292,0
3.550485167,1
3.550717167,0
3.550950042,1
3.551179958,0
3.551410750,1
3.551640667,0
3.551871500,1
3.552101375,0
3.552332208,1
3.552562125,0
3.552792958,1
3.553022833,0
3.553253625,1
3.553483542,0
3.553714375,1
3.553944292,0
3.554175083,1
3.554405000,0
3.554635833,1
3.554865750,0
3.555096625,1
